car name,move
A,left
C,left
A,left
X,left
B,left
H,up
C,right
H,down
B,left
C,left
D,left
D,right
B,right
X,left
B,right
B,left
D,left
D,right
D,left
H,up
X,right
X,right
G,up
A,right
A,left
X,left
F,right
H,down
H,up
X,left
F,right
K,up
E,right
K,up
I,left
I,left
X,right
X,left
I,left
L,left
L,left
K,down
L,left
K,down
F,left
A,right
F,right
A,left
F,left
B,left
H,down
J,up
J,down
H,down
B,right
X,right
B,left
X,left
H,down
J,up
H,up
H,down
G,up
X,right
G,down
J,up
X,right
H,up
H,down
X,left
X,right
B,right
L,left
H,up
B,left
G,up
J,down
X,right
L,right
H,up
J,down
H,down
H,down
X,right
car name,move
A,left
C,left
A,left
X,left
B,left
H,up
C,right
H,down
B,left
C,left
D,left
D,right
B,right
X,left
B,right
B,left
D,left
D,right
D,left
H,up
X,right
X,right
G,up
A,right
A,left
X,left
F,right
H,down
H,up
X,left
F,right
K,up
E,right
K,up
I,left
I,left
X,right
X,left
I,left
L,left
L,left
K,down
L,left
K,down
F,left
A,right
F,right
A,left
F,left
B,left
H,down
J,up
J,down
H,down
B,right
X,right
B,left
X,left
H,down
J,up
H,up
H,down
G,up
X,right
G,down
J,up
X,right
H,up
H,down
X,left
X,right
B,right
L,left
H,up
B,left
G,up
J,down
X,right
L,right
H,up
J,down
H,down
H,down
X,right
