car name,move
F,up
F,up
F,up
F,up
B,down
A,left
A,left
E,left
B,down
B,down
X,left
X,left
X,left
B,up
B,up
G,up
G,up
G,up
D,left
C,down
E,right
E,right
E,right
B,down
C,down
B,down
X,right
F,down
A,left
F,down
F,down
X,left
B,up
B,up
B,up
D,left
D,left
G,down
F,down
D,left
B,down
A,right
A,right
A,right
B,up
A,right
G,up
D,right
F,up
D,right
D,right
B,down
B,down
B,down
X,right
F,up
F,up
F,up
X,left
B,up
B,up
B,up
D,left
D,left
D,left
B,down
G,down
E,left
E,left
E,left
B,down
G,down
H,left
H,left
H,left
H,left
B,down
X,right
G,down
X,right
X,right
C,down
X,right
car name,move
F,up
F,up
F,up
F,up
B,down
A,left
A,left
E,left
B,down
B,down
X,left
X,left
X,left
B,up
B,up
G,up
G,up
G,up
D,left
C,down
E,right
E,right
E,right
B,down
C,down
B,down
X,right
F,down
A,left
F,down
F,down
X,left
B,up
B,up
B,up
D,left
D,left
G,down
F,down
D,left
B,down
A,right
A,right
A,right
B,up
A,right
G,up
D,right
F,up
D,right
D,right
B,down
B,down
B,down
X,right
F,up
F,up
F,up
X,left
B,up
B,up
B,up
D,left
D,left
D,left
B,down
G,down
E,left
E,left
E,left
B,down
G,down
H,left
H,left
H,left
H,left
B,down
X,right
G,down
X,right
X,right
C,down
X,right
