car name,move
G,left
G,left
K,up
K,up
K,up
S,up
S,up
S,up
T,up
T,up
T,up
T,up
T,up
J,left
Q,left
Q,left
L,down
U,left
U,left
L,down
M,left
M,left
M,left
L,up
L,up
V,up
V,up
R,left
R,left
R,left
N,down
X,left
X,left
H,down
C,down
H,down
I,left
I,left
I,left
C,down
D,left
P,up
P,up
P,up
O,right
H,down
X,right
X,right
X,right
