total moves random,total moves priority
1084,2078
4170,12757
1360,2093
5031,2791
1382,1117
9463,7956
3921,3054
3478,4426
927,28521
3223,11722
1842,20942
4329,16816
7894,7592
2090,7266
1837,1923
2093,2451
1689,12243
869,1868
3977,27899
1728,2887
11399,3759
1393,1718
847,1043
1286,2299
7112,1667
4594,2579
1770,4264
2652,4125
1211,8449
5407,502
4183,11817
1115,5270
2375,9535
7086,3419
5052,5243
3610,3003
934,4035
2580,604
3292,888
5532,3143
3690,6325
1881,18064
2960,2508
4525,615
9477,20481
2639,3044
1695,9238
5001,3970
625,6470
8863,9456
6580,43988
727,1434
816,5270
1672,18702
20132,4609
4134,955
1812,1394
282,20479
716,3567
1862,769
3200,3871
7137,11270
5134,10178
2620,17864
2901,13284
838,1408
2326,2997
3513,1462
15392,8214
1529,8049
